,ID,START_DATE,END_DATE,TIMER_total,SYMBOL,EVALUATION_01,EVALUATION_02,EVALUATION_index,SATISFACTION,TRUST,OUTAGE_q01,OUTAGE_q02,OUTAGE_q03,OUTAGE_01,OUTAGE_02,OUTAGE_03,OUTAGE_long,AREA,CITY,CITY_short,GOV_EVALUATION,GOV_SATISFACTION,GOV_TRUST,GOV_ATTITUDES,INTEREST,GENDER,AGE,EDUCATION,INCOME,HOUSE,IDEOLOGY,IEC_ATTITUDES_first,IEC_ATTITUDES_second,IEC_ATTITUDES_third,IEC_ATTITUDES_fourth,MEKOROT_recognize,IROADS_recognize,EAPC_recognize,NTA_recognize,IEC_symbol_recognize,IEC_work,IEC_work_relative,IEC_work_01,IEC_debt,SYMBOL_not_recognize,TIMER_total_filter,IMC,MISSING,GUESS_filter
1,1,14/12/2015 14:19,14/12/2015 14:23,4,2,4,7,5.5,5,3,3,5,1,1,1,0.666666667,1,SHARON,KFAR SABA,KFS,0,0,0,0,0.75,0,24,0.571428571,0,0,0.3,EVALUATION_02,EVALUATION_01,TRUST,SATISFACTION,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2,2,14/12/2015 14:21,14/12/2015 14:24,3,2,2,2,2,2,3,3,4,3,1,1,1,1,SHARON,HOD HASHARON,HDS,0.166666667,0.166666667,0.166666667,0.166666667,1,0,38,1,0.75,0,0.5,TRUST,EVALUATION_01,EVALUATION_02,SATISFACTION,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,3,14/12/2015 14:18,14/12/2015 14:24,6,1,1,3,2,4,3,3,2,3,1,1,0.833333333,0,SHARON,HERZELIA,HZL,0,0,0,0,0,1,35,0.857142857,0,0,0,TRUST,SATISFACTION,EVALUATION_01,EVALUATION_02,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,14/12/2015 14:19,14/12/2015 14:25,6,0,1,1,1,3,3,3,5,3,1,1,1,1,SHARON,RAMAT HASHARON,RSR,0.5,0.5,0.333333333,0.444444444,1,1,22,0.714285714,0.75,0,0.3,SATISFACTION,TRUST,EVALUATION_01,EVALUATION_02,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,5,14/12/2015 14:19,14/12/2015 14:25,6,1,5,8,6.5,9,8,2,3,2,1,1,0.5,1,SHARON,KFAR SABA,KFS,0.5,0.333333333,0.333333333,0.388888889,1,0,51,0.285714286,0.25,1,0.2,SATISFACTION,EVALUATION_02,TRUST,EVALUATION_01,1,1,0,0,0,0,0,0,0,0,0,1,0,0
6,6,14/12/2015 14:20,14/12/2015 14:25,5,0,4,8,6,3,5,1,0,3,0,0,0.333333333,0,SHARON,HERZELIA,HZL,0.166666667,0.166666667,0.333333333,0.222222222,0,1,46,0.571428571,0,0,0.3,SATISFACTION,TRUST,EVALUATION_02,EVALUATION_01,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,7,14/12/2015 14:20,14/12/2015 14:26,6,1,7,7,7,6,8,3,3,3,1,1,0.833333333,1,SHARON,KFAR SABA,KFS,0.5,0.5,0.666666667,0.555555556,0,1,41,0.428571429,0.5,1,0.6,EVALUATION_02,TRUST,SATISFACTION,EVALUATION_01,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,8,14/12/2015 14:24,14/12/2015 14:27,3,1,5,5,5,7,7,2,3,2,1,1,0.5,1,SHARON,KFAR SABA,KFS,0.833333333,0.833333333,0.833333333,0.833333333,0.75,0,36,1,0.25,0,0.5,TRUST,EVALUATION_01,SATISFACTION,EVALUATION_02,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,9,14/12/2015 14:22,14/12/2015 14:28,6,0,7,7,7,7,6,3,2,1,1,1,0.5,0,SHARON,HERZELIA,HZL,0.166666667,0,0,0.055555556,0,1,57,1,0,1,0.5,TRUST,EVALUATION_01,EVALUATION_02,SATISFACTION,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,10,14/12/2015 14:22,14/12/2015 14:28,6,1,4,4,4,3,3,2,1,3,1,0.5,0.5,0,SHARON,HERZELIA,HZL,0.166666667,0,0,0.055555556,0,0,31,0.857142857,1,1,0.3,SATISFACTION,EVALUATION_01,EVALUATION_02,TRUST,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11,11,14/12/2015 14:25,14/12/2015 14:28,3,1,7,6,6.5,7,7,2,2,1,1,1,0.333333333,0,SHARON,HOD HASHARON,HDS,0.5,0.5,0.5,0.5,0,1,22,0.428571429,0.5,0,0.3,TRUST,EVALUATION_01,EVALUATION_02,SATISFACTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0
